donar,recipient,year,amount,,,,,,
Japan,India,1973,336622699,,,,,,
Japan,India,1974,591141107,,,,,,
Japan,India,1975,893575401,,,,,,
Japan,India,1976,300474738,,,,,,
Japan,India,1977,563874259,,,,,,
Japan,India,1978,223578309,,,,,,
Japan,India,1979,89439193,,,,,,
Japan,India,1980,275850351,,,,,,
Japan,India,1981,995747795,,,,,,
Japan,India,1982,162613562,,,,,,
Japan,India,1983,150055274,,,,,,
Japan,India,1984,1118206615,,,,,,
Japan,India,1985,497456385,,,,,,
Japan,India,1986,595659983,,,,,,
Japan,India,1987,720631887,,,,,,
Japan,India,1988,1809738317,,,,,,
Japan,India,1989,106312821,,,,,,
Japan,India,1990,393987391,,,,,,
Japan,India,1991,2220393582,,,,,,
Japan,India,1992,1909543284,,,,,,
Japan,India,1993,33190482,,,,,,
Japan,India,1994,1274671959,,,,,,
Japan,India,1995,1390436248,,,,,,
Japan,India,1996,1680853374,,,,,,
Japan,India,1997,2821771782,,,,,,
Japan,India,1998,978965072,,,,,,
Japan,India,1999,127350853,,,,,,
Japan,India,2000,4021810,,,,,,
Japan,India,2001,213334062,,,,,,
Japan,India,2002,731407870,,,,,,
Japan,India,2003,1289448503,,,,,,
Japan,India,2004,1481069275,,,,,,
Japan,India,2005,1588017908,,,,,,
Japan,India,2006,2154595558,,,,,,
Japan,India,2007,3042781524,,,,,,
Japan,India,2008,3431798707,,,,,,
Japan,India,2009,1714800333,,,,,,
Japan,India,2010,2719060010,,,,,,
Japan,India,2011,2280417552,,,,,,
Japan,India,2012,3361519665,,,,,,
Japan,India,2013,2555651795,,,,,,
United Kingdom,India,1973,199053950,,,,,,
United Kingdom,India,1974,1392015957,,,,,,
United Kingdom,India,1975,222187891,,,,,,
United Kingdom,India,1976,1757633,,,,,,
United Kingdom,India,1977,859780876,,,,,,
United Kingdom,India,1978,971662741,,,,,,
United Kingdom,India,1979,4423657,,,,,,
United Kingdom,India,1980,559083941,,,,,,
United Kingdom,India,1981,249773,,,,,,
United Kingdom,India,1982,574364575,,,,,,
United Kingdom,India,1983,571439323,,,,,,
United Kingdom,India,1984,742821519,,,,,,
United Kingdom,India,1985,592397,,,,,,
United Kingdom,India,1986,222731473,,,,,,
United Kingdom,India,1987,699501908,,,,,,
United Kingdom,India,1988,59301677,,,,,,
United Kingdom,India,1989,227483425,,,,,,
United Kingdom,India,1990,238784674,,,,,,
United Kingdom,India,1991,210694021,,,,,,
United Kingdom,India,1992,982776129,,,,,,
United Kingdom,India,1993,274392569,,,,,,
United Kingdom,India,1994,117360030,,,,,,
United Kingdom,India,1995,219268015,,,,,,
United Kingdom,India,1996,802172641,,,,,,
United Kingdom,India,1997,432279305,,,,,,
United Kingdom,India,1998,531149603,,,,,,
United Kingdom,India,1999,713496102,,,,,,
United Kingdom,India,2000,520672707,,,,,,
United Kingdom,India,2001,465253117,,,,,,
United Kingdom,India,2002,543083106,,,,,,
United Kingdom,India,2003,589325524,,,,,,
United Kingdom,India,2004,847628823,,,,,,
United Kingdom,India,2005,773553562,,,,,,
United Kingdom,India,2006,743242402,,,,,,
United Kingdom,India,2007,1008308097,,,,,,
United Kingdom,India,2008,687854536,,,,,,
United Kingdom,India,2009,850363364,,,,,,
United Kingdom,India,2010,305102915,,,,,,
United Kingdom,India,2011,169022121,,,,,,
United Kingdom,India,2012,221347695,,,,,,
United Kingdom,India,2013,366392343,,,,,,
Germany,India,1973,291616992,,,,,,
Germany,India,1974,496039647,,,,,,
Germany,India,1975,560286598,,,,,,
Germany,India,1976,472599021,,,,,,
Germany,India,1977,377463218,,,,,,
Germany,India,1978,343072952,,,,,,
Germany,India,1979,371255774,,,,,,
Germany,India,1980,501966105,,,,,,
Germany,India,1981,444408202,,,,,,
Germany,India,1982,642502575,,,,,,
Germany,India,1983,332753524,,,,,,
Germany,India,1984,645711318,,,,,,
Germany,India,1985,182979772,,,,,,
Germany,India,1986,370198372,,,,,,
Germany,India,1987,484687274,,,,,,
Germany,India,1988,716277204,,,,,,
Germany,India,1989,441348797,,,,,,
Germany,India,1990,655646209,,,,,,
Germany,India,1991,246582978,,,,,,
Germany,India,1992,526752688,,,,,,
Germany,India,1993,156842664,,,,,,
Germany,India,1994,315599032,,,,,,
Germany,India,1995,238128838,,,,,,
Germany,India,1996,243003156,,,,,,
Germany,India,1997,620287092,,,,,,
Germany,India,1998,176490596,,,,,,
Germany,India,1999,231917579,,,,,,
Germany,India,2000,110160793,,,,,,
Germany,India,2001,379720246,,,,,,
Germany,India,2002,176395577,,,,,,
Germany,India,2003,156971371,,,,,,
Germany,India,2004,200259349,,,,,,
Germany,India,2005,432347509,,,,,,
Germany,India,2006,438578566,,,,,,
Germany,India,2007,689702999,,,,,,
Germany,India,2008,561699519,,,,,,
Germany,India,2009,692396871,,,,,,
Germany,India,2010,298127844,,,,,,
Germany,India,2011,860733409,,,,,,
Germany,India,2012,1027799574,,,,,,
Germany,India,2013,906671404,,,,,,
United States,India,1973,258800080,,,,,,
United States,India,1974,372006028,,,,,,
United States,India,1975,562700262,,,,,,
United States,India,1976,251864782,,,,,,
United States,India,1977,74168795,,,,,,
United States,India,1978,236847627,,,,,,
United States,India,1979,549842629,,,,,,
United States,India,1980,827535822,,,,,,
United States,India,1981,679013230,,,,,,
United States,India,1982,439452542,,,,,,
United States,India,1983,389583353,,,,,,
United States,India,1984,486384531,,,,,,
United States,India,1985,291952027,,,,,,
United States,India,1986,426996594,,,,,,
United States,India,1987,358190364,,,,,,
United States,India,1988,393514243,,,,,,
United States,India,1989,326678071,,,,,,
United States,India,1990,229537284,,,,,,
United States,India,1991,303063618,,,,,,
United States,India,1992,1161173681,,,,,,
United States,India,1993,461425650,,,,,,
United States,India,1994,1843572308,,,,,,
United States,India,1995,420192553,,,,,,
United States,India,1996,624683104,,,,,,
United States,India,1997,509374460,,,,,,
United States,India,1998,531598069,,,,,,
United States,India,1999,604660206,,,,,,
United States,India,2000,235159888,,,,,,
United States,India,2001,633062559,,,,,,
United States,India,2002,269641075,,,,,,
United States,India,2003,214161980,,,,,,
United States,India,2004,197001768,,,,,,
United States,India,2005,221036822,,,,,,
United States,India,2006,185983561,,,,,,
United States,India,2007,169039646,,,,,,
United States,India,2008,156962561,,,,,,
United States,India,2009,142332973,,,,,,
United States,India,2010,145176643,,,,,,
United States,India,2011,146940627,,,,,,
United States,India,2012,118255951,,,,,,
United States,India,2013,80264852,,,,,,
Netherlands,India,1973,141216992,,,,,,
Netherlands,India,1974,300582282,,,,,,
Netherlands,India,1975,112330085,,,,,,
Netherlands,India,1976,414222459,,,,,,
Netherlands,India,1977,330126511,,,,,,
Netherlands,India,1978,217021903,,,,,,
Netherlands,India,1979,66113950,,,,,,
Netherlands,India,1980,342786026,,,,,,
Netherlands,India,1981,262181709,,,,,,
Netherlands,India,1982,150848639,,,,,,
Netherlands,India,1983,289516372,,,,,,
Netherlands,India,1984,174701601,,,,,,
Netherlands,India,1985,66957689,,,,,,
Netherlands,India,1986,358242283,,,,,,
Netherlands,India,1987,553543246,,,,,,
Netherlands,India,1988,251777660,,,,,,
Netherlands,India,1989,425685167,,,,,,
Netherlands,India,1990,195604921,,,,,,
Netherlands,India,1991,189950139,,,,,,
Netherlands,India,1992,226143597,,,,,,
Netherlands,India,1993,183110296,,,,,,
Netherlands,India,1994,231166770,,,,,,
Netherlands,India,1995,214678430,,,,,,
Netherlands,India,1996,289535074,,,,,,
Netherlands,India,1997,103406768,,,,,,
Netherlands,India,1998,42334194,,,,,,
Netherlands,India,1999,12356965,,,,,,
Netherlands,India,2000,17161364,,,,,,
Netherlands,India,2001,228225459,,,,,,
Netherlands,India,2002,384433732,,,,,,
Netherlands,India,2003,125026494,,,,,,
Netherlands,India,2004,7720085,,,,,,
Netherlands,India,2005,41503733,,,,,,
Netherlands,India,2006,7259123,,,,,,
Netherlands,India,2007,4419366,,,,,,
Netherlands,India,2008,2920191,,,,,,
Netherlands,India,2009,9166277,,,,,,
Netherlands,India,2010,1522296,,,,,,
Netherlands,India,2011,429928,,,,,,
Netherlands,India,2012,1005916,,,,,,
Netherlands,India,2013,773294,,,,,,
France,India,1973,180411934,,,,,,
France,India,1974,199833416,,,,,,
France,India,1975,132336292,,,,,,
France,India,1976,153819071,,,,,,
France,India,1977,168900067,,,,,,
France,India,1980,163389683,,,,,,
France,India,1981,97587631,,,,,,
France,India,1982,261138217,,,,,,
France,India,1983,114068187,,,,,,
France,India,1984,223304430,,,,,,
France,India,1985,119512392,,,,,,
France,India,1986,241924679,,,,,,
France,India,1987,244352815,,,,,,
France,India,1988,195068651,,,,,,
France,India,1989,411504796,,,,,,
France,India,1990,63402955,,,,,,
France,India,1992,50315791,,,,,,
France,India,1993,38585989,,,,,,
France,India,1994,62190738,,,,,,
France,India,1995,8630944,,,,,,
France,India,1996,103454481,,,,,,
France,India,1997,56490290,,,,,,
France,India,1998,24002558,,,,,,
France,India,1999,16048354,,,,,,
France,India,2000,19179641,,,,,,
France,India,2001,14141071,,,,,,
France,India,2002,32323412,,,,,,
France,India,2003,24457579,,,,,,
France,India,2004,20544210,,,,,,
France,India,2005,32608446,,,,,,
France,India,2006,31422845,,,,,,
France,India,2007,26951130,,,,,,
